"Response","Description","Classification"
0,APPROVED OR COMPLETED SUCCESSFULLY,-
15,ISSUER NOT LIVE ON UPI,BD
59,"SUSPECTED FRAUD, DECLINE/TRANSACTIONS DECLINED BASED ON RISKSCORE BY REMITTER",BD
AM,MPIN NOT SET BY CUSTOMER,BD
B1,REGISTERED MOBILE NUMBER LINKED TO THE ACCOUNT HAS BEEN CHANGED/REMOVED,BD
B3,"TRANSACTION NOT PERMITTED TO THE ACCOUNT (EXAMPLE: MINOR ACCOUNT, PROPRIETOR ACCOUNT,
LEGAL CASE AGAINST THIS ACCOUNT ETC., NRE (AS PER BANK’S POLICY))",BD
B6,MISMATCH IN PAYMENT DETAILS,TD
CA,COMPLIANCE ERROR CODE FOR ACQUIRER,BD
CI,COMPLIANCE ERROR CODE FOR ISSUER,BD
DF,DUPLICATE RRN FOUND IN THE TRANSACTION. (BENEFICIARY),BD
DT,DUPLICATE RRN FOUND IN THE TRANSACTION. (REMITTER),BD
HS,BANKS HSM IS DOWN(REMITTER),TD
IC,DEBIT AMOUNT IS NOT BLOCKED FOR THE CUSTOMER,BD
ID,DEBIT AMOUNT GREATER THAN BLOCKED AMOUNT,BD
IE,"ADEQUATE FUNDS NOT AVAILABLE IN THE ACCOUNT BECAUSE FUNDS HAVE BEEN
BLOCKED FOR MANDATE",BD
IR,UNABLE TO PROCESS DUE TO INTERNAL EXCEPTION AT SERVER/CBS/ETC ON REMITTER SIDE,TD
K1,"SUSPECTED FRAUD, DECLINE / TRANSACTIONS DECLINED BASED ON RISK SCORE BY REMITTER",BD
LC,UNABLE TO PROCESS CREDIT FROM BANK’S POOL/BGL ACCOUNT,BD
LD,UNABLE TO PROCESS DEBIT IN BANK’S POOL/BGL ACCOUNT,BD
NO,NO ORIGINAL REQUEST FOUND DURING DEBIT/CREDIT,BD
PS,MAXIMUM BALANCE EXCEEDED AS SET BY BENEFICIARY BANK,BD
QU,PAYER ACCOUNT HAS CHANGED(PAYER),BD
UA,PSP NOT SUPPORTED BY UPI,BD
UB,"UNABLE TO PROCESS DUE TO INTERNAL EXCEPTION AT SERVER/CBS/ETC ON BENEFICIARY
SIDE",TD
UP,PSP TIME-OUT,TD
VA,MANDATE HAS BEEN REVOKED,BD
VB,INCORRECT RECURRENCE PATTERN,BD
VC,INCORRECT RECURRENCE PATTERN RULE,BD
VD,INCORRECT AMOUNT RULE,BD
VE,MANDATE IS ALREADY HONOURED,BD
VF,UMN DOES NOT EXIST (REMITTER),BD
VG,PAYER VPA IS INCORRECT (REMITTER),BD
VH,MANDATE SIGNATURE IS TAMPERED OR CORRUPT (REMITTER),BD
VI,EXECUTION DAY AND EXECUTION RULE MISMATCH (REMITTER),BD
VJ,PAYER ACCOUNT HAS CHANGED (REMITTER),BD
VK,"NUMBER OF MANDATES ALLOWED ON THIS ACCOUNT HAS EXCEEDED ISSUER'S LIMIT
(OPTIONAL: AS PER BANK'S POLICY)",BD
VL,MANDATE REGISTRATION NOT ALLOWED FOR CC PF PPF ACT (BANK'S POLICY),BD
VM,NATURE OF DEBIT NOT ALLOWED IN ACCOUNT TYPE,BD
VO,PAYMENT STOPPED BY COURT ORDER,BD
VP,WITHDRAWAL STOPPED OWING TO DEATH OF ACCOUNT HOLDER,BD
VQ,WITHDRAWAL STOPPED OWING TO INSOLVENCY OF ACCOUNT,BD
VR,WITHDRAWAL STOPPED OWING TO LUNACY OF ACCOUNT HOLD,BD
VS,DUPLICATE MANDATE REQUEST FOR SAME ITEM,BD
VT,MANDATE IS PAUSED,BD
VU,MANDATE HAS EXPIRED,BD
VY,PAYEE VPA IS INCORRECT (REMITTER),BD
VZ,PAYMENT STOPPED BY ATTACHMENT ORDER,BD
X6,INVALID MERCHANT (ACQURIER),BD
X7,MERCHANT NOT REACHABLE (ACQURIER),TD
XB,"INVALID TRANSACTION OR IF MEMBER IS NOT ABLE TO FIND ANY APPROPRIATE RESPONSE
CODE (REMITTER)",BD
XC,"INVALID TRANSACTION OR IF MEMBER IS NOT ABLE TO FIND ANY APPROPRIATE RESPONSE
CODE (BENEFICIARY)",BD
XD,INVALID AMOUNT (REMITTER),BD
XE,INVALID AMOUNT (BENEFICIARY),BD
XF,FORMAT ERROR (INVALID FORMAT) (REMITTER),BD
XG,FORMAT ERROR (INVALID FORMAT) (BENEFICIARY),BD
XH,ACCOUNT DOES NOT EXIST (REMITTER),BD
XI,ACCOUNT DOES NOT EXIST (BENEFICIARY),BD
XJ,REQUESTED FUNCTION NOT SUPPORTED (REMITTER),BD
XK,REQUESTED FUNCTION NOT SUPPORTED (BENEFICIARY),BD
XL,"EXPIRED CARD, DECLINE (REMITTER)",BD
XM,"EXPIRED CARD, DECLINE (BENEFICIARY)",BD
XN,NO CARD RECORD (REMITTER),BD
XO,NO CARD RECORD (BENEFICIARY),BD
XP,TRANSACTION NOT PERMITTED TO CARDHOLDER (REMITTER),BD
XQ,TRANSACTION NOT PERMITTED TO CARDHOLDER (BENEFICIARY),BD
XR,"RESTRICTED CARD, DECLINE (REMITTER)",BD
XS,"RESTRICTED CARD, DECLINE (BENEFICIARY)",BD
XT,CUT-OFF IS IN PROCESS (REMITTER),TD
XU,CUT-OFF IS IN PROCESS (BENEFICIARY),TD
XV,TRANSACTION CANNOT BE COMPLETED. COMPLIANCE VIOLATION (REMITTER),BD
XW,TRANSACTION CANNOT BE COMPLETED. COMPLIANCE VIOLATION (BENEFICIARY),BD
XX,NO FINANCIAL ADDRESS RECORD FOUND,BD
XY,REMITTER CBS OFFLINE,TD
Y1,BENEFICIARY CBS OFFLINE,TD
YA,LOST OR STOLEN CARD (REMITTER),BD
YB,LOST OR STOLEN CARD (BENEFICIARY),BD
YC,DO NOT HONOUR (REMITTER),BD
YD,DO NOT HONOUR (BENEFICIARY),BD
YE,REMITTING ACCOUNT BLOCKED/FROZEN,BD
YF,BENEFICIARY ACCOUNT BLOCKED/FROZEN,BD
YH,MERCHANT ERROR(ACQUIRING BANK),BD
YI,INVALID RESPONSE CODE,BD
Z5,INVALID BENEFICIARY CREDENTIALS,BD
Z6,NUMBER OF PIN TRIES EXCEEDED,BD
Z7,TRANSACTION FREQUENCY LIMIT EXCEEDED AS SET BY REMITTING MEMBER,BD
Z8,PER TRANSACTION LIMIT EXCEEDED AS SET BY REMITTING MEMBER,BD
